Graduate_ID,Age,Gender,State_of_Origin,Region,Urban_or_Rural,Household_Income_Bracket,Field_of_Study,University_Type,GPA_or_Class_of_Degree,Has_Postgrad_Degree,Years_Since_Graduation,Employment_Status,Salary_Level,Net_Salary
G0103,29,Female,Enugu,North,Urban,Low,Education,Federal,Second Class Upper,No,1,Employed,Low-paid,68262
G0104,34,Male,Delta,South,Urban,Middle,Business,State,Second Class Upper,No,7,Employed,Low-paid,115087
G0105,28,Male,Plateau,East,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,9,Employed,Well-paid,368721
G0106,25,Other,Delta,North,Urban,Middle,Health Sciences,State,Second Class Upper,Yes,6,Employed,Low-paid,101686
G0107,33,Female,Rivers,West,Urban,Middle,Education,Federal,Second Class Lower,No,7,Employed,Well-paid,373937
G0108,22,Female,Edo,West,Urban,Middle,Business,Federal,Second Class Upper,No,10,Employed,Low-paid,124299
G0109,25,Female,Rivers,East,Urban,Middle,Business,Federal,Second Class Lower,No,5,Unemployed,Not employed,0
G0110,28,Male,Oyo,West,Urban,High,Business,Federal,Second Class Upper,No,0,Employed,Well-paid,395399
G0111,30,Male,Kaduna,West,Rural,Middle,Health Sciences,State,Second Class Lower,No,8,Employed,Well-paid,391124
G0112,29,Female,Edo,West,Rural,Middle,Engineering,Federal,Second Class Upper,Yes,5,Employed,Low-paid,163044
G0113,32,Female,Oyo,North,Rural,High,Health Sciences,State,Second Class Lower,No,9,Employed,Low-paid,86409
G0114,32,Male,Edo,West,Urban,Low,Health Sciences,Federal,Second Class Upper,No,0,Employed,Low-paid,196681
G0115,32,Male,Lagos,South,Urban,Low,Education,Federal,Second Class Upper,No,0,Employed,Low-paid,69535
G0116,33,Male,Oyo,South,Urban,High,Engineering,State,First Class,No,7,Unemployed,Not employed,0
G0117,29,Female,Lagos,West,Rural,Middle,Business,Private,Second Class Lower,No,5,Employed,Low-paid,173828
G0118,33,Female,Lagos,South,Urban,High,Education,Federal,Second Class Upper,No,7,Employed,Well-paid,335182
G0119,33,Female,Edo,North,Urban,Low,Health Sciences,Federal,Second Class Upper,Yes,7,Unemployed,Not employed,0
G0120,21,Male,Borno,East,Urban,Middle,Engineering,State,Third Class,No,10,Unemployed,Not employed,0
G0121,29,Female,Rivers,South,Rural,Low,Business,Federal,Second Class Lower,No,7,Employed,Well-paid,309518
G0122,27,Female,Oyo,West,Urban,Middle,Business,State,Second Class Upper,Yes,9,Employed,Low-paid,188279
G0123,29,Male,Plateau,East,Urban,Low,Health Sciences,State,Second Class Upper,Yes,6,Employed,Low-paid,98637
G0124,28,Male,Borno,East,Rural,Low,Business,Federal,Second Class Upper,No,6,Employed,Low-paid,124405
G0125,21,Male,Rivers,West,Urban,Low,Business,Federal,Second Class Lower,No,9,Employed,Well-paid,243872
G0126,32,Male,Oyo,South,Urban,Middle,Engineering,Federal,Second Class Lower,Yes,3,Employed,Well-paid,212185
G0127,28,Female,Kaduna,North,Urban,Low,Education,Federal,Second Class Lower,Yes,8,Unemployed,Not employed,0
G0128,28,Male,Rivers,South,Urban,Low,Engineering,State,Second Class Upper,Yes,1,Employed,Well-paid,306706
G0129,31,Female,Plateau,South,Urban,Low,Education,State,Second Class Upper,No,10,Employed,Well-paid,351950
G0130,23,Male,Delta,North,Urban,Low,Education,State,First Class,No,8,Employed,Well-paid,201396
G0131,21,Male,Kano,East,Urban,High,Education,State,First Class,No,9,Unemployed,Not employed,0
G0132,28,Male,Lagos,North,Rural,Low,Business,Federal,Second Class Lower,No,2,Employed,Low-paid,53460
G0133,23,Male,Kano,North,Urban,Low,Engineering,State,First Class,No,1,Employed,Low-paid,152657
G0134,23,Female,Borno,West,Urban,Middle,Business,Federal,Second Class Upper,No,3,Employed,Well-paid,382386
G0135,21,Female,Delta,West,Urban,Middle,Health Sciences,State,Second Class Lower,No,4,Employed,Well-paid,376461
G0136,31,Female,Lagos,South,Rural,Middle,Engineering,Federal,Second Class Upper,No,1,Employed,Low-paid,57676
G0137,25,Female,Oyo,West,Urban,Middle,Education,State,First Class,Yes,0,Employed,Low-paid,87312
G0138,30,Male,Borno,North,Urban,High,Business,State,Second Class Lower,No,9,Employed,Low-paid,184220
G0139,27,Male,Plateau,North,Urban,Low,Business,Federal,Second Class Lower,Yes,10,Employed,Low-paid,193344
G0140,30,Male,Edo,West,Urban,High,Engineering,Federal,Second Class Lower,No,4,Employed,Low-paid,52655
G0141,29,Female,Oyo,West,Urban,Middle,Engineering,State,Second Class Upper,Yes,8,Employed,Low-paid,105863
G0142,32,Male,Rivers,West,Rural,Middle,Education,Federal,Second Class Upper,No,4,Employed,Low-paid,111045
G0143,27,Male,Edo,North,Urban,Middle,Education,State,First Class,No,10,Employed,Low-paid,95517
G0144,29,Female,Borno,East,Rural,Middle,Health Sciences,Private,Second Class Lower,No,9,Employed,Well-paid,274227
G0145,28,Male,Rivers,East,Urban,Low,Education,Federal,Second Class Upper,No,8,Employed,Well-paid,374710
G0146,32,Male,Plateau,West,Rural,Low,Business,Federal,Second Class Lower,No,9,Unemployed,Not employed,0
G0147,22,Male,Kano,South,Urban,High,Health Sciences,State,Second Class Upper,No,5,Employed,Low-paid,124789
G0148,21,Female,Rivers,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,2,Employed,Low-paid,104322
G0149,27,Female,Kano,East,Urban,Low,Health Sciences,Federal,Second Class Lower,No,3,Employed,Low-paid,151800
G0150,27,Female,Lagos,West,Urban,Middle,Engineering,Private,Second Class Lower,Yes,3,Unemployed,Not employed,0
G0151,34,Male,Kaduna,North,Rural,Middle,Education,State,Second Class Upper,No,0,Unemployed,Not employed,0
G0152,28,Other,Enugu,South,Urban,Low,Health Sciences,Federal,Second Class Lower,No,2,Employed,Well-paid,320782
G0153,25,Female,Oyo,South,Urban,Middle,Engineering,Federal,Third Class,No,2,Employed,Low-paid,185294
G0154,23,Male,Enugu,North,Urban,Middle,Engineering,State,Second Class Lower,No,0,Employed,Low-paid,101141
G0155,32,Female,Lagos,North,Rural,Low,Health Sciences,State,Second Class Lower,No,8,Employed,Low-paid,60716
G0156,28,Male,Rivers,West,Urban,High,Health Sciences,State,Second Class Lower,No,10,Unemployed,Not employed,0
G0157,26,Female,Lagos,North,Rural,Low,Business,Federal,Second Class Lower,No,0,Employed,Low-paid,110644
G0158,31,Female,Enugu,North,Rural,Middle,Health Sciences,Private,First Class,No,8,Employed,Low-paid,175650
G0159,23,Male,Enugu,North,Rural,Low,Business,State,Second Class Upper,No,0,Unemployed,Not employed,0
G0160,21,Female,Oyo,East,Urban,Middle,Health Sciences,State,First Class,No,1,Unemployed,Not employed,0
G0161,23,Female,Edo,North,Urban,Low,Health Sciences,State,First Class,Yes,1,Employed,Low-paid,138499
G0162,25,Female,Delta,South,Urban,Low,Education,Federal,Second Class Upper,No,5,Employed,Well-paid,332454
G0163,34,Male,Lagos,West,Rural,Middle,Health Sciences,Private,First Class,No,6,Employed,Low-paid,185239
G0164,23,Male,Kaduna,West,Rural,Low,Health Sciences,Federal,Second Class Lower,No,10,Unemployed,Not employed,0
G0165,21,Male,Delta,West,Urban,Middle,Business,Federal,Second Class Lower,No,0,Unemployed,Not employed,0
G0166,25,Female,Lagos,East,Rural,Middle,Business,State,First Class,No,2,Employed,Well-paid,317323
G0167,30,Male,Plateau,South,Urban,High,Education,State,Second Class Upper,No,1,Employed,Low-paid,153849
G0168,27,Female,Borno,North,Urban,Middle,Health Sciences,State,Second Class Lower,Yes,7,Unemployed,Not employed,0
G0169,34,Female,Borno,South,Urban,Low,Health Sciences,State,Second Class Lower,No,8,Employed,Well-paid,389445
G0170,27,Male,Enugu,West,Rural,Low,Business,Federal,Second Class Lower,No,1,Employed,Well-paid,281117
G0171,31,Female,Borno,North,Rural,High,Engineering,Private,Third Class,No,1,Unemployed,Not employed,0
G0172,29,Male,Kano,West,Rural,Middle,Engineering,Federal,Third Class,No,9,Employed,Well-paid,291730
G0173,30,Female,Kaduna,West,Rural,Low,Engineering,State,Second Class Upper,Yes,8,Employed,Well-paid,379793
G0174,30,Female,Borno,West,Urban,Middle,Business,Federal,Second Class Upper,No,3,Unemployed,Not employed,0
G0175,32,Male,Rivers,South,Rural,Middle,Business,State,Second Class Lower,No,4,Unemployed,Not employed,0
G0176,33,Male,Kano,South,Urban,High,Engineering,Federal,Second Class Upper,Yes,10,Employed,Well-paid,359895
G0177,23,Male,Delta,West,Rural,High,Engineering,State,Second Class Lower,No,8,Employed,Well-paid,260972
G0178,27,Female,Kano,West,Rural,High,Health Sciences,State,Second Class Upper,No,5,Employed,Low-paid,124963
G0179,21,Female,Lagos,North,Urban,High,Business,Federal,Second Class Lower,No,9,Employed,Low-paid,104534
G0180,24,Female,Enugu,West,Urban,High,Business,State,Second Class Upper,Yes,8,Employed,Low-paid,166093
G0181,33,Male,Oyo,West,Urban,Low,Engineering,State,Second Class Upper,No,8,Unemployed,Not employed,0
G0182,24,Male,Oyo,West,Rural,Middle,Engineering,State,Second Class Upper,No,6,Employed,Low-paid,74121
G0183,34,Male,Plateau,West,Urban,Middle,Education,Private,Second Class Lower,No,9,Employed,Low-paid,121736
G0184,25,Female,Kaduna,South,Urban,High,Business,Federal,Second Class Upper,No,8,Employed,Low-paid,111581
G0185,27,Female,Lagos,West,Rural,Middle,Education,Federal,Second Class Lower,Yes,4,Unemployed,Not employed,0
G0186,27,Male,Oyo,East,Urban,Low,Health Sciences,Federal,Second Class Lower,No,4,Employed,Low-paid,76123
G0187,33,Male,Enugu,West,Urban,Middle,Education,Federal,Second Class Lower,No,7,Employed,Low-paid,101036
G0188,31,Female,Delta,South,Urban,Middle,Engineering,Federal,Second Class Lower,No,9,Employed,Low-paid,180062
G0189,33,Female,Oyo,East,Urban,Low,Business,State,Second Class Upper,No,3,Employed,Well-paid,278855
G0190,24,Female,Rivers,East,Rural,Low,Business,Federal,Second Class Upper,Yes,8,Employed,Low-paid,196662
G0191,33,Female,Kano,West,Urban,Middle,Education,Federal,Second Class Upper,No,6,Employed,Low-paid,72701
G0192,27,Male,Oyo,West,Urban,Low,Education,Federal,Second Class Lower,No,6,Employed,Well-paid,241178
G0193,31,Male,Lagos,South,Urban,Low,Health Sciences,State,Second Class Lower,No,2,Employed,Well-paid,305734
G0194,23,Female,Borno,East,Urban,Low,Health Sciences,State,Second Class Upper,Yes,3,Employed,Well-paid,237118
G0195,26,Female,Borno,East,Rural,High,Engineering,Federal,Second Class Upper,No,6,Employed,Low-paid,75387
G0196,32,Male,Delta,South,Rural,Middle,Engineering,State,Second Class Upper,No,10,Employed,Low-paid,107613
G0197,22,Female,Borno,West,Urban,Low,Engineering,Federal,Second Class Upper,Yes,10,Employed,Well-paid,246666
G0198,30,Female,Delta,North,Urban,Middle,Education,Private,Second Class Upper,No,4,Employed,Well-paid,370207
G0199,33,Female,Lagos,North,Urban,Middle,Education,State,Second Class Upper,Yes,2,Employed,Well-paid,229554
G0200,34,Female,Kaduna,East,Urban,Low,Business,Federal,First Class,No,0,Employed,Low-paid,169387
G0201,29,Male,Borno,East,Urban,Low,Engineering,State,Second Class Upper,No,6,Employed,Well-paid,242146
G0202,25,Female,Plateau,West,Rural,Middle,Education,State,Second Class Upper,No,5,Employed,Low-paid,150037
G0203,26,Female,Enugu,North,Urban,Middle,Business,Federal,First Class,No,9,Employed,Low-paid,194060
G0204,32,Female,Kano,East,Urban,Middle,Engineering,State,Second Class Upper,No,6,Unemployed,Not employed,0
G0205,32,Female,Borno,West,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,1,Unemployed,Not employed,0
G0206,32,Female,Delta,North,Urban,Low,Health Sciences,Federal,First Class,No,3,Employed,Low-paid,66456
G0207,32,Male,Lagos,South,Rural,High,Education,Federal,First Class,No,1,Employed,Low-paid,169681
G0208,24,Female,Borno,East,Urban,Low,Business,Federal,First Class,No,7,Employed,Low-paid,172573
G0209,34,Female,Oyo,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,6,Employed,Low-paid,111405
G0210,34,Female,Borno,North,Urban,Low,Business,Private,Second Class Lower,No,0,Employed,Low-paid,192106
G0211,31,Female,Delta,West,Rural,Low,Business,Federal,Second Class Upper,No,1,Employed,Low-paid,50877
G0212,30,Female,Rivers,West,Urban,Middle,Health Sciences,Federal,First Class,No,1,Employed,Low-paid,112718
G0213,27,Male,Rivers,North,Rural,Low,Business,State,First Class,Yes,3,Unemployed,Not employed,0
G0214,32,Female,Borno,South,Urban,Middle,Health Sciences,State,Second Class Upper,Yes,2,Employed,Low-paid,108100
G0215,29,Male,Kano,West,Rural,Low,Education,Private,Second Class Lower,Yes,0,Unemployed,Not employed,0
G0216,27,Male,Lagos,East,Rural,Middle,Engineering,State,Second Class Upper,No,1,Unemployed,Not employed,0
G0217,34,Female,Plateau,South,Urban,Middle,Engineering,Private,Second Class Upper,No,10,Employed,Low-paid,59642
G0218,21,Female,Plateau,South,Rural,Low,Education,State,Second Class Upper,No,8,Employed,Low-paid,150844
G0219,21,Male,Borno,East,Urban,High,Health Sciences,Private,Second Class Upper,Yes,0,Employed,Low-paid,100483
G0220,29,Male,Borno,North,Urban,Low,Health Sciences,State,First Class,No,8,Employed,Well-paid,265293
G0221,31,Female,Rivers,West,Urban,Low,Health Sciences,Federal,Second Class Upper,No,6,Employed,Well-paid,275450
G0222,34,Male,Delta,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,1,Employed,Low-paid,146629
G0223,29,Male,Kano,West,Urban,Middle,Education,State,First Class,No,1,Employed,Well-paid,313140
G0224,24,Male,Borno,West,Rural,Middle,Engineering,Federal,Second Class Lower,No,4,Unemployed,Not employed,0
G0225,33,Male,Plateau,South,Rural,Low,Business,Federal,Second Class Lower,No,4,Employed,Well-paid,249508
G0226,29,Male,Lagos,North,Urban,Middle,Business,State,Second Class Upper,Yes,3,Unemployed,Not employed,0
G0227,23,Male,Kaduna,South,Rural,Middle,Engineering,Private,Second Class Upper,No,9,Employed,Well-paid,307815
G0228,27,Male,Oyo,North,Urban,Low,Education,Federal,Second Class Upper,No,9,Unemployed,Not employed,0
G0229,26,Female,Borno,East,Urban,Low,Business,State,Second Class Upper,No,2,Employed,Low-paid,181651
G0230,28,Female,Delta,North,Rural,Middle,Engineering,State,Second Class Lower,Yes,3,Employed,Low-paid,62587
G0231,31,Female,Borno,North,Urban,Middle,Education,Private,Second Class Upper,Yes,9,Unemployed,Not employed,0
G0232,29,Male,Delta,South,Urban,Low,Business,Private,First Class,No,3,Employed,Well-paid,266181
G0233,34,Male,Kano,West,Rural,Low,Health Sciences,State,Second Class Upper,No,1,Employed,Well-paid,379542
G0234,25,Female,Kaduna,West,Urban,Low,Health Sciences,State,Second Class Lower,No,4,Employed,Low-paid,197000
G0235,21,Male,Enugu,North,Urban,Middle,Education,Federal,Second Class Upper,No,4,Employed,Low-paid,142345
G0236,23,Female,Lagos,North,Urban,Middle,Health Sciences,State,Second Class Lower,No,4,Employed,Well-paid,243591
G0237,30,Female,Lagos,South,Urban,Middle,Education,State,Second Class Lower,No,10,Unemployed,Not employed,0
G0238,32,Female,Delta,North,Rural,Middle,Engineering,State,Second Class Upper,No,10,Employed,Well-paid,231901
G0239,28,Male,Rivers,South,Urban,High,Engineering,State,Second Class Lower,Yes,9,Employed,Low-paid,143411
G0240,31,Male,Delta,East,Urban,Middle,Business,Federal,Second Class Upper,No,0,Unemployed,Not employed,0
G0241,26,Female,Rivers,North,Urban,Middle,Education,State,Second Class Lower,No,5,Employed,Low-paid,189571
G0242,28,Male,Edo,East,Urban,Low,Business,Federal,Second Class Lower,Yes,10,Employed,Low-paid,181305
G0243,29,Female,Plateau,North,Urban,Middle,Business,Federal,Second Class Upper,No,1,Unemployed,Not employed,0
G0244,24,Female,Lagos,North,Urban,Middle,Engineering,Federal,Second Class Upper,No,6,Employed,Low-paid,198490
G0245,21,Other,Kano,East,Urban,Low,Business,Federal,Second Class Lower,Yes,3,Employed,Low-paid,109566
G0246,34,Male,Delta,East,Urban,High,Health Sciences,State,Second Class Upper,Yes,4,Employed,Well-paid,215246
G0247,21,Female,Kano,South,Urban,High,Business,Federal,Second Class Upper,No,4,Employed,Well-paid,369857
G0248,30,Female,Kaduna,South,Rural,Middle,Education,Federal,Second Class Upper,No,4,Employed,Low-paid,153425
